sequence_file_id,run_library_assignment_id,sequencing_run_id,library_preparation_id,seq_sample_id,current_seq_sample_id,correct_seq_sample_id,suggested_correct_seq_sample_id,suggested_equals_correct,already_correct,forward_fq,reverse_fq,corrected_forward_fq,corrected_reverse_fq,note
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-15__1.0__2G__2021-01-09__1__2G__170.0__ITS__T-2020-ITS-c-15,RLA__seq230710_GW4I8__LP__DX__T-030620-w-15__1.0__2G__2021-01-09__1__2G__170.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-15__1.0__2G__2021-01-09__1__2G__170.0__ITS,T-2020-ITS-c-15,T-2020-ITS-c-15,T-030620-ITS-w-15,T-030620-ITS-w-15,True,False,T-2020-ITS-c-15_S15_L001_R1_001.fastq.gz,T-2020-ITS-c-15_S15_L001_R2_001.fastq.gz,T-030620-ITS-w-15_S15_L001_R1_001.fastq.gz,T-030620-ITS-w-15_S15_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-14__1.0__2F__2021-01-09__1__2F__158.0__ITS__T-2020-ITS-c-14,RLA__seq230710_GW4I8__LP__DX__T-030620-w-14__1.0__2F__2021-01-09__1__2F__158.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-14__1.0__2F__2021-01-09__1__2F__158.0__ITS,T-2020-ITS-c-14,T-2020-ITS-c-14,T-030620-ITS-w-14,T-030620-ITS-w-14,True,False,T-2020-ITS-c-14_S14_L001_R1_001.fastq.gz,T-2020-ITS-c-14_S14_L001_R2_001.fastq.gz,T-030620-ITS-w-14_S14_L001_R1_001.fastq.gz,T-030620-ITS-w-14_S14_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-13__1.0__2E__2021-01-09__1__2E__146.0__ITS__T-2020-ITS-c-13,RLA__seq230710_GW4I8__LP__DX__T-030620-w-13__1.0__2E__2021-01-09__1__2E__146.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-13__1.0__2E__2021-01-09__1__2E__146.0__ITS,T-2020-ITS-c-13,T-2020-ITS-c-13,T-030620-ITS-w-13,T-030620-ITS-w-13,True,False,T-2020-ITS-c-13_S13_L001_R1_001.fastq.gz,T-2020-ITS-c-13_S13_L001_R2_001.fastq.gz,T-030620-ITS-w-13_S13_L001_R1_001.fastq.gz,T-030620-ITS-w-13_S13_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-12__1.0__2D__2021-01-09__1__2D__134.0__ITS__T-2020-ITS-c-12,RLA__seq230710_GW4I8__LP__DX__T-030620-w-12__1.0__2D__2021-01-09__1__2D__134.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-12__1.0__2D__2021-01-09__1__2D__134.0__ITS,T-2020-ITS-c-12,T-2020-ITS-c-12,T-030620-ITS-w-12,T-030620-ITS-w-12,True,False,T-2020-ITS-c-12_S12_L001_R1_001.fastq.gz,T-2020-ITS-c-12_S12_L001_R2_001.fastq.gz,T-030620-ITS-w-12_S12_L001_R1_001.fastq.gz,T-030620-ITS-w-12_S12_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-11__1.0__2C__2021-01-09__1__2C__122.0__ITS__T-2020-ITS-c-11,RLA__seq230710_GW4I8__LP__DX__T-030620-w-11__1.0__2C__2021-01-09__1__2C__122.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-11__1.0__2C__2021-01-09__1__2C__122.0__ITS,T-2020-ITS-c-11,T-2020-ITS-c-11,T-030620-ITS-w-11,T-030620-ITS-w-11,True,False,T-2020-ITS-c-11_S11_L001_R1_001.fastq.gz,T-2020-ITS-c-11_S11_L001_R2_001.fastq.gz,T-030620-ITS-w-11_S11_L001_R1_001.fastq.gz,T-030620-ITS-w-11_S11_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-10__1.0__2B__2021-01-09__1__2B__110.0__ITS__T-2020-ITS-c-10,RLA__seq230710_GW4I8__LP__DX__T-030620-w-10__1.0__2B__2021-01-09__1__2B__110.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-10__1.0__2B__2021-01-09__1__2B__110.0__ITS,T-2020-ITS-c-10,T-2020-ITS-c-10,T-030620-ITS-w-10,T-030620-ITS-w-10,True,False,T-2020-ITS-c-10_S10_L001_R1_001.fastq.gz,T-2020-ITS-c-10_S10_L001_R2_001.fastq.gz,T-030620-ITS-w-10_S10_L001_R1_001.fastq.gz,T-030620-ITS-w-10_S10_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-9__1.0__2A__2021-01-09__1__2A__98.0__ITS__T-2020-ITS-c-9,RLA__seq230710_GW4I8__LP__DX__T-030620-w-9__1.0__2A__2021-01-09__1__2A__98.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-9__1.0__2A__2021-01-09__1__2A__98.0__ITS,T-2020-ITS-c-9,T-2020-ITS-c-9,T-030620-ITS-w-9,T-030620-ITS-w-9,True,False,T-2020-ITS-c-9_S9_L001_R1_001.fastq.gz,T-2020-ITS-c-9_S9_L001_R2_001.fastq.gz,T-030620-ITS-w-9_S9_L001_R1_001.fastq.gz,T-030620-ITS-w-9_S9_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-8__1.0__1H__2021-01-09__1__1H__181.0__ITS__T-2020-ITS-c-8,RLA__seq230710_GW4I8__LP__DX__T-030620-w-8__1.0__1H__2021-01-09__1__1H__181.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-8__1.0__1H__2021-01-09__1__1H__181.0__ITS,T-2020-ITS-c-8,T-2020-ITS-c-8,T-030620-ITS-w-8,T-030620-ITS-w-8,True,False,T-2020-ITS-c-8_S8_L001_R1_001.fastq.gz,T-2020-ITS-c-8_S8_L001_R2_001.fastq.gz,T-030620-ITS-w-8_S8_L001_R1_001.fastq.gz,T-030620-ITS-w-8_S8_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-7__1.0__1G__2021-01-09__1__1G__169.0__ITS__T-2020-ITS-c-7,RLA__seq230710_GW4I8__LP__DX__T-030620-w-7__1.0__1G__2021-01-09__1__1G__169.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-7__1.0__1G__2021-01-09__1__1G__169.0__ITS,T-2020-ITS-c-7,T-2020-ITS-c-7,T-030620-ITS-w-7,T-030620-ITS-w-7,True,False,T-2020-ITS-c-7_S7_L001_R1_001.fastq.gz,T-2020-ITS-c-7_S7_L001_R2_001.fastq.gz,T-030620-ITS-w-7_S7_L001_R1_001.fastq.gz,T-030620-ITS-w-7_S7_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-6__1.0__1F__2021-01-09__1__1F__157.0__ITS__T-2020-ITS-c-6,RLA__seq230710_GW4I8__LP__DX__T-030620-w-6__1.0__1F__2021-01-09__1__1F__157.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-6__1.0__1F__2021-01-09__1__1F__157.0__ITS,T-2020-ITS-c-6,T-2020-ITS-c-6,T-030620-ITS-w-6,T-030620-ITS-w-6,True,False,T-2020-ITS-c-6_S6_L001_R1_001.fastq.gz,T-2020-ITS-c-6_S6_L001_R2_001.fastq.gz,T-030620-ITS-w-6_S6_L001_R1_001.fastq.gz,T-030620-ITS-w-6_S6_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-5__1.0__1E__2021-01-09__1__1E__145.0__ITS__T-2020-ITS-c-5,RLA__seq230710_GW4I8__LP__DX__T-030620-w-5__1.0__1E__2021-01-09__1__1E__145.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-5__1.0__1E__2021-01-09__1__1E__145.0__ITS,T-2020-ITS-c-5,T-2020-ITS-c-5,T-030620-ITS-w-5,T-030620-ITS-w-5,True,False,T-2020-ITS-c-5_S5_L001_R1_001.fastq.gz,T-2020-ITS-c-5_S5_L001_R2_001.fastq.gz,T-030620-ITS-w-5_S5_L001_R1_001.fastq.gz,T-030620-ITS-w-5_S5_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-4__1.0__1D__2021-01-09__1__1D__133.0__ITS__T-2020-ITS-c-4,RLA__seq230710_GW4I8__LP__DX__T-030620-w-4__1.0__1D__2021-01-09__1__1D__133.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-4__1.0__1D__2021-01-09__1__1D__133.0__ITS,T-2020-ITS-c-4,T-2020-ITS-c-4,T-030620-ITS-w-4,T-030620-ITS-w-4,True,False,T-2020-ITS-c-4_S4_L001_R1_001.fastq.gz,T-2020-ITS-c-4_S4_L001_R2_001.fastq.gz,T-030620-ITS-w-4_S4_L001_R1_001.fastq.gz,T-030620-ITS-w-4_S4_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-3__1.0__1C__2021-01-09__1__1C__121.0__ITS__T-2020-ITS-c-3,RLA__seq230710_GW4I8__LP__DX__T-030620-w-3__1.0__1C__2021-01-09__1__1C__121.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-3__1.0__1C__2021-01-09__1__1C__121.0__ITS,T-2020-ITS-c-3,T-2020-ITS-c-3,T-030620-ITS-w-3,T-030620-ITS-w-3,True,False,T-2020-ITS-c-3_S3_L001_R1_001.fastq.gz,T-2020-ITS-c-3_S3_L001_R2_001.fastq.gz,T-030620-ITS-w-3_S3_L001_R1_001.fastq.gz,T-030620-ITS-w-3_S3_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-2__1.0__1B__2021-01-09__1__1B__109.0__ITS__T-2020-ITS-c-2,RLA__seq230710_GW4I8__LP__DX__T-030620-w-2__1.0__1B__2021-01-09__1__1B__109.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-2__1.0__1B__2021-01-09__1__1B__109.0__ITS,T-2020-ITS-c-2,T-2020-ITS-c-2,T-030620-ITS-w-2,T-030620-ITS-w-2,True,False,T-2020-ITS-c-2_S2_L001_R1_001.fastq.gz,T-2020-ITS-c-2_S2_L001_R2_001.fastq.gz,T-030620-ITS-w-2_S2_L001_R1_001.fastq.gz,T-030620-ITS-w-2_S2_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-25__1.0__4A__2021-01-09__1__4A__100.0__ITS__T-2020-ITS-c-25,RLA__seq230710_GW4I8__LP__DX__T-030620-w-25__1.0__4A__2021-01-09__1__4A__100.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-25__1.0__4A__2021-01-09__1__4A__100.0__ITS,T-2020-ITS-c-25,T-2020-ITS-c-25,T-030620-ITS-w-25,T-030620-ITS-w-25,True,False,T-2020-ITS-c-25_S25_L001_R1_001.fastq.gz,T-2020-ITS-c-25_S25_L001_R2_001.fastq.gz,T-030620-ITS-w-25_S25_L001_R1_001.fastq.gz,T-030620-ITS-w-25_S25_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-26__1.0__4B__2021-01-09__1__4B__112.0__ITS__T-2020-ITS-c-26,RLA__seq230710_GW4I8__LP__DX__T-030620-w-26__1.0__4B__2021-01-09__1__4B__112.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-26__1.0__4B__2021-01-09__1__4B__112.0__ITS,T-2020-ITS-c-26,T-2020-ITS-c-26,T-030620-ITS-w-26,T-030620-ITS-w-26,True,False,T-2020-ITS-c-26_S26_L001_R1_001.fastq.gz,T-2020-ITS-c-26_S26_L001_R2_001.fastq.gz,T-030620-ITS-w-26_S26_L001_R1_001.fastq.gz,T-030620-ITS-w-26_S26_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-27__1.0__4C__2021-01-09__1__4C__124.0__ITS__T-2020-ITS-c-27,RLA__seq230710_GW4I8__LP__DX__T-030620-w-27__1.0__4C__2021-01-09__1__4C__124.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-27__1.0__4C__2021-01-09__1__4C__124.0__ITS,T-2020-ITS-c-27,T-2020-ITS-c-27,T-030620-ITS-w-27,T-030620-ITS-w-27,True,False,T-2020-ITS-c-27_S27_L001_R1_001.fastq.gz,T-2020-ITS-c-27_S27_L001_R2_001.fastq.gz,T-030620-ITS-w-27_S27_L001_R1_001.fastq.gz,T-030620-ITS-w-27_S27_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-28__1.0__4D__2021-01-09__1__4D__136.0__ITS__T-2020-ITS-c-28,RLA__seq230710_GW4I8__LP__DX__T-030620-w-28__1.0__4D__2021-01-09__1__4D__136.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-28__1.0__4D__2021-01-09__1__4D__136.0__ITS,T-2020-ITS-c-28,T-2020-ITS-c-28,T-030620-ITS-w-28,T-030620-ITS-w-28,True,False,T-2020-ITS-c-28_S28_L001_R1_001.fastq.gz,T-2020-ITS-c-28_S28_L001_R2_001.fastq.gz,T-030620-ITS-w-28_S28_L001_R1_001.fastq.gz,T-030620-ITS-w-28_S28_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__alex-control__7D__1__7D__139.0__ITS__T-2020-ITS-c-52,RLA__seq230710_GW4I8__LP__DX__alex-control__7D__1__7D__139.0__ITS,seq230710_GW4I8,LP__DX__alex-control__7D__1__7D__139.0__ITS,T-2020-ITS-c-52,T-2020-ITS-c-52,T-000020-16S-w-55-DO-NOT-INCLUDE,T-000020-16S-w-55-DO-NOT-INCLUDE,True,False,T-2020-ITS-c-52_S52_L001_R1_001.fastq.gz,T-2020-ITS-c-52_S52_L001_R2_001.fastq.gz,T-000020-16S-w-55-DO-NOT-INCLUDE_S52_L001_R1_001.fastq.gz,T-000020-16S-w-55-DO-NOT-INCLUDE_S52_L001_R2_001.fastq.gz,not_a_sample_do_not_inlcude
SF__RLA__seq230710_GW4I8__LP__DX__alex-control__7C__1__7C__127.0__ITS__T-2020-ITS-c-51,RLA__seq230710_GW4I8__LP__DX__alex-control__7C__1__7C__127.0__ITS,seq230710_GW4I8,LP__DX__alex-control__7C__1__7C__127.0__ITS,T-2020-ITS-c-51,T-2020-ITS-c-51,T-000020-16S-w-51-DO-NOT-INCLUDE,T-000020-16S-w-51-DO-NOT-INCLUDE,True,False,T-2020-ITS-c-51_S51_L001_R1_001.fastq.gz,T-2020-ITS-c-51_S51_L001_R2_001.fastq.gz,T-000020-16S-w-51-DO-NOT-INCLUDE_S51_L001_R1_001.fastq.gz,T-000020-16S-w-51-DO-NOT-INCLUDE_S51_L001_R2_001.fastq.gz,not_a_sample_do_not_inlcude
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-50__1.0__7B__2021-01-09__1__7B__115.0__ITS__T-2020-ITS-c-50,RLA__seq230710_GW4I8__LP__DX__T-030620-w-50__1.0__7B__2021-01-09__1__7B__115.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-50__1.0__7B__2021-01-09__1__7B__115.0__ITS,T-2020-ITS-c-50,T-2020-ITS-c-50,T-030620-ITS-w-50,T-030620-ITS-w-50,True,False,T-2020-ITS-c-50_S50_L001_R1_001.fastq.gz,T-2020-ITS-c-50_S50_L001_R2_001.fastq.gz,T-030620-ITS-w-50_S50_L001_R1_001.fastq.gz,T-030620-ITS-w-50_S50_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-49__1.0__7A__2021-01-09__1__7A__103.0__ITS__T-2020-ITS-c-49,RLA__seq230710_GW4I8__LP__DX__T-030620-w-49__1.0__7A__2021-01-09__1__7A__103.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-49__1.0__7A__2021-01-09__1__7A__103.0__ITS,T-2020-ITS-c-49,T-2020-ITS-c-49,T-030620-ITS-w-49,T-030620-ITS-w-49,True,False,T-2020-ITS-c-49_S49_L001_R1_001.fastq.gz,T-2020-ITS-c-49_S49_L001_R2_001.fastq.gz,T-030620-ITS-w-49_S49_L001_R1_001.fastq.gz,T-030620-ITS-w-49_S49_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-48__1.0__6H__2021-01-09__1__6H__186.0__ITS__T-2020-ITS-c-48,RLA__seq230710_GW4I8__LP__DX__T-030620-w-48__1.0__6H__2021-01-09__1__6H__186.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-48__1.0__6H__2021-01-09__1__6H__186.0__ITS,T-2020-ITS-c-48,T-2020-ITS-c-48,T-030620-ITS-w-48,T-030620-ITS-w-48,True,False,T-2020-ITS-c-48_S48_L001_R1_001.fastq.gz,T-2020-ITS-c-48_S48_L001_R2_001.fastq.gz,T-030620-ITS-w-48_S48_L001_R1_001.fastq.gz,T-030620-ITS-w-48_S48_L001_R2_001.fastq.gz,Alex_destroyed
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-47__1.0__6G__2021-01-09__1__6G__174.0__ITS__T-2020-ITS-c-47,RLA__seq230710_GW4I8__LP__DX__T-030620-w-47__1.0__6G__2021-01-09__1__6G__174.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-47__1.0__6G__2021-01-09__1__6G__174.0__ITS,T-2020-ITS-c-47,T-2020-ITS-c-47,T-030620-ITS-w-47,T-030620-ITS-w-47,True,False,T-2020-ITS-c-47_S47_L001_R1_001.fastq.gz,T-2020-ITS-c-47_S47_L001_R2_001.fastq.gz,T-030620-ITS-w-47_S47_L001_R1_001.fastq.gz,T-030620-ITS-w-47_S47_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-46__1.0__6F__2021-01-09__1__6F__162.0__ITS__T-2020-ITS-c-46,RLA__seq230710_GW4I8__LP__DX__T-030620-w-46__1.0__6F__2021-01-09__1__6F__162.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-46__1.0__6F__2021-01-09__1__6F__162.0__ITS,T-2020-ITS-c-46,T-2020-ITS-c-46,T-030620-ITS-w-46,T-030620-ITS-w-46,True,False,T-2020-ITS-c-46_S46_L001_R1_001.fastq.gz,T-2020-ITS-c-46_S46_L001_R2_001.fastq.gz,T-030620-ITS-w-46_S46_L001_R1_001.fastq.gz,T-030620-ITS-w-46_S46_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-45__1.0__6E__2021-01-09__1__6E__150.0__ITS__T-2020-ITS-c-45,RLA__seq230710_GW4I8__LP__DX__T-030620-w-45__1.0__6E__2021-01-09__1__6E__150.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-45__1.0__6E__2021-01-09__1__6E__150.0__ITS,T-2020-ITS-c-45,T-2020-ITS-c-45,T-030620-ITS-w-45,T-030620-ITS-w-45,True,False,T-2020-ITS-c-45_S45_L001_R1_001.fastq.gz,T-2020-ITS-c-45_S45_L001_R2_001.fastq.gz,T-030620-ITS-w-45_S45_L001_R1_001.fastq.gz,T-030620-ITS-w-45_S45_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-44__1.0__6D__2021-01-09__1__6D__138.0__ITS__T-2020-ITS-c-44,RLA__seq230710_GW4I8__LP__DX__T-030620-w-44__1.0__6D__2021-01-09__1__6D__138.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-44__1.0__6D__2021-01-09__1__6D__138.0__ITS,T-2020-ITS-c-44,T-2020-ITS-c-44,T-030620-ITS-w-44,T-030620-ITS-w-44,True,False,T-2020-ITS-c-44_S44_L001_R1_001.fastq.gz,T-2020-ITS-c-44_S44_L001_R2_001.fastq.gz,T-030620-ITS-w-44_S44_L001_R1_001.fastq.gz,T-030620-ITS-w-44_S44_L001_R2_001.fastq.gz,Alex_rust
