dna_extraction_id,bio_sample_id,DNA_plate_number,plate_position,DNA_ext_date,DNA_conc_plate,DNA_conc_plate_dilutedx10,DNA_conc_individual,speedvac_DNA_conc_individual,days_between_DNA_x
DX__T-030620-w-45__1.0__6E__2021-01-09,T-030620-w-45,1.0,6E,2021-01-09,1.62,,,,
DX__T-030620-w-44__1.0__6D__2021-01-09,T-030620-w-44,1.0,6D,2021-01-09,1.19,,,,
DX__T-030620-w-43__1.0__6C__2021-01-09,T-030620-w-43,1.0,6C,2021-01-09,1.03,,,,
DX__T-030620-w-42__1.0__6B__2021-01-09,T-030620-w-42,1.0,6B,2021-01-09,0.437,,,,
DX__T-030620-w-1__1.0__1A__2021-01-09,T-030620-w-1,1.0,1A,2021-01-09,0.442,,,,
DX__T-030620-w-41__1.0__6A__2021-01-09,T-030620-w-41,1.0,6A,2021-01-09,0.808,,,,
DX__T-030620-w-39__1.0__5G__2021-01-09,T-030620-w-39,1.0,5G,2021-01-09,1.07,,,,
DX__T-030620-w-38__1.0__5F__2021-01-09,T-030620-w-38,1.0,5F,2021-01-09,1.02,,,,
DX__T-030620-w-37__1.0__5E__2021-01-09,T-030620-w-37,1.0,5E,2021-01-09,2.09,,,,
DX__T-030620-w-36__1.0__5D__2021-01-09,T-030620-w-36,1.0,5D,2021-01-09,1.33,,,,
DX__T-030620-w-35__1.0__5C__2021-01-09,T-030620-w-35,1.0,5C,2021-01-09,0.948,,,,
DX__T-030620-w-34__1.0__5B__2021-01-09,T-030620-w-34,1.0,5B,2021-01-09,1.04,,,,
DX__T-030620-w-33__1.0__5A__2021-01-09,T-030620-w-33,1.0,5A,2021-01-09,3.0,,,,
DX__T-030620-w-32__1.0__4H__2021-01-09,T-030620-w-32,1.0,4H,2021-01-09,0.579,,,,
DX__T-030620-w-31__1.0__4G__2021-01-09,T-030620-w-31,1.0,4G,2021-01-09,0.497,,,,
DX__T-030620-w-30__1.0__4F__2021-01-09,T-030620-w-30,1.0,4F,2021-01-09,0.706,,,,
DX__T-030620-w-29__1.0__4E__2021-01-09,T-030620-w-29,1.0,4E,2021-01-09,0.532,,,,
DX__T-030620-w-40__1.0__5H__2021-01-09,T-030620-w-40,1.0,5H,2021-01-09,0.828,,,,
DX__Ultrapure-water__7E,Ultrapure-water,,7E,,,,,,
DX__T-150621-c-mystery__7C,T-150621-c-mystery,,7C,,,,,,
DX__T-150621-c-118__21__3H,T-150621-c-118,2/1,3H,,47.73,,,,
DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__12E,ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306,,12E,,,,,,
DX__Ultrapure-water__12F,Ultrapure-water,,12F,,,,,,
DX__T-150621-c-144__21__7B,T-150621-c-144,2/1,7B,,52.56,,,,
DX__T-150621-c-143__21__7A,T-150621-c-143,2/1,7A,,55.87,,,,
DX__T-150621-c-142__21__6H,T-150621-c-142,2/1,6H,,55.87,,,,
DX__T-150621-c-141__21__6G,T-150621-c-141,2/1,6G,,55.87,,,,
DX__Ultrapure-water__7F,Ultrapure-water,,7F,,,,,,
DX__T-150621-c-140__21__6F,T-150621-c-140,2/1,6F,,55.87,,,,
DX__T-150621-c-138__21__6D,T-150621-c-138,2/1,6D,,55.87,,,,
DX__T-150621-c-137__21__6C,T-150621-c-137,2/1,6C,,55.87,,,,
DX__T-150621-c-136__21__6B,T-150621-c-136,2/1,6B,,55.87,,,,
DX__T-150621-c-135__21__6A,T-150621-c-135,2/1,6A,,55.87,,,,
DX__T-150621-c-134__21__5H,T-150621-c-134,2/1,5H,,32.67,,,,
DX__T-150621-c-133__21__5G,T-150621-c-133,2/1,5G,,55.87,,,,
DX__T-150621-c-139__21__6E,T-150621-c-139,2/1,6E,,51.56,,,,
DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__7E,ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306,,7E,,,,,,
DX__T-150621-c-1__12__1A,T-150621-c-1,1/2,1A,,56.26314417311202,,,,
DX__T-150621-c-2__12__1B,T-150621-c-2,1/2,1B,,56.26314417311202,,,,
DX__T-150621-c-17__12__3A,T-150621-c-17,1/2,3A,,56.26314417311202,,,,
DX__T-150621-c-16__12__2H,T-150621-c-16,1/2,2H,,56.26314417311202,,,,
DX__T-150621-c-15__12__2G,T-150621-c-15,1/2,2G,,56.26314417311202,,,,
DX__T-150621-c-14__12__2F,T-150621-c-14,1/2,2F,,56.26314417311202,,,,
DX__T-150621-c-13__12__2E,T-150621-c-13,1/2,2E,,45.32545407143478,,,,
DX__T-150621-c-12__12__2D,T-150621-c-12,1/2,2D,,52.78352307291214,,,,
DX__T-150621-c-11__12__2C,T-150621-c-11,1/2,2C,,49.85313287564092,,,,
DX__T-150621-c-10__12__2B,T-150621-c-10,1/2,2B,,56.16581211436517,,,,
DX__T-150621-c-9__12__2A,T-150621-c-9,1/2,2A,,56.26314417311202,,,,
DX__T-150621-c-8__12__1H,T-150621-c-8,1/2,1H,,56.26314417311202,,,,
DX__T-150621-c-7__12__1G,T-150621-c-7,1/2,1G,,40.11123663856783,,,,
DX__T-150621-c-6__12__1F,T-150621-c-6,1/2,1F,,56.26314417311202,,,,
DX__T-150621-c-5__12__1E,T-150621-c-5,1/2,1E,,45.66264013209351,,,,
DX__T-150621-c-4__12__1D,T-150621-c-4,1/2,1D,,56.26314417311202,,,,
DX__T-150621-c-3__12__1C,T-150621-c-3,1/2,1C,,51.566003302337705,,,,
DX__T-150621-c-132__21__5F,T-150621-c-132,2/1,5F,,33.75,,,,
DX__T-150621-c-18__12__3B,T-150621-c-18,1/2,3B,,56.26314417311202,,,,
DX__T-150621-c-131__21__5E,T-150621-c-131,2/1,5E,,40.93,,,,
DX__T-150621-c-129__21__5C,T-150621-c-129,2/1,5C,,45.01,,,,
DX__T-150621-c-108__21__2F,T-150621-c-108,2/1,2F,,55.87,,,,
DX__T-150621-c-107__21__2E,T-150621-c-107,2/1,2E,,26.98,,,,
DX__T-150621-c-106__21__2D,T-150621-c-106,2/1,2D,,40.11,,,,
DX__T-150621-c-105__21__2C,T-150621-c-105,2/1,2C,,40.91,,,,
DX__T-150621-c-104__21__2B,T-150621-c-104,2/1,2B,,55.87,,,,
DX__T-150621-c-103__21__2A,T-150621-c-103,2/1,2A,,46.6,,,,
DX__T-150621-c-109__21__2G,T-150621-c-109,2/1,2G,,55.87,,,,
DX__T-150621-c-102__21__1H,T-150621-c-102,2/1,1H,,42.29,,,,
DX__T-150621-c-100__21__1F,T-150621-c-100,2/1,1F,,24.54,,,,
DX__T-150621-c-99__21__1E,T-150621-c-99,2/1,1E,,39.06,,,,
DX__T-150621-c-98__21__1D,T-150621-c-98,2/1,1D,,37.37,,,,
DX__T-150621-c-97__21__1C,T-150621-c-97,2/1,1C,,55.87,,,,
DX__T-150621-c-96__21__1B,T-150621-c-96,2/1,1B,,55.87,,,,
DX__T-150621-c-95__21__1A,T-150621-c-95,2/1,1A,,55.87,,,,
DX__T-150621-c-101__21__1G,T-150621-c-101,2/1,1G,,55.87,,,,
DX__T-150621-c-110__21__2H,T-150621-c-110,2/1,2H,,55.87,,,,
DX__T-150621-c-111__21__3A,T-150621-c-111,2/1,3A,,55.87,,,,
DX__T-150621-c-112__21__3B,T-150621-c-112,2/1,3B,,55.87,,,,
DX__T-150621-c-128__21__5B,T-150621-c-128,2/1,5B,,55.87,,,,
DX__T-150621-c-127__21__5A,T-150621-c-127,2/1,5A,,55.87,,,,
DX__T-150621-c-126__21__4H,T-150621-c-126,2/1,4H,,55.87,,,,
DX__T-150621-c-125__21__4G,T-150621-c-125,2/1,4G,,55.87,,,,
DX__T-150621-c-124__21__4F,T-150621-c-124,2/1,4F,,55.82,,,,
DX__T-150621-c-123__21__4E,T-150621-c-123,2/1,4E,,45.86,,,,
DX__T-150621-c-122__21__4D,T-150621-c-122,2/1,4D,,30.73,,,,
DX__T-150621-c-121__21__4C,T-150621-c-121,2/1,4C,,18.5,,,,
DX__T-150621-c-120__21__4B,T-150621-c-120,2/1,4B,,53.48,,,,
DX__T-150621-c-119__21__4A,T-150621-c-119,2/1,4A,,53.62,,,,
DX__T-150621-c-117__21__3G,T-150621-c-117,2/1,3G,,55.87,,,,
DX__T-150621-c-116__21__3F,T-150621-c-116,2/1,3F,,55.87,,,,
DX__T-150621-c-115__21__3E,T-150621-c-115,2/1,3E,,45.29,,,,
DX__T-150621-c-114__21__3D,T-150621-c-114,2/1,3D,,55.87,,,,
DX__T-150621-c-113__21__3C,T-150621-c-113,2/1,3C,,30.04,,,,
DX__T-150621-c-130__21__5D,T-150621-c-130,2/1,5D,,38.73,,,,
DX__T-150621-c-19__12__10C,T-150621-c-19,1/2,10C,,6.878421830190319,,,,
DX__T-150621-c-20__12__3D,T-150621-c-20,1/2,3D,,40.35282871295733,,,,
DX__T-150621-c-21__12__3E,T-150621-c-21,1/2,3E,,49.43251933605632,,,,
DX__T-150621-c-73__12__10A,T-150621-c-73,1/2,10A,,28.22108281915356,,,,
DX__T-150621-c-72__12__9H,T-150621-c-72,1/2,9H,,30.707395498392284,,,,
DX__T-150621-c-71__12__9G,T-150621-c-71,1/2,9G,,17.67445902494134,,,,
DX__T-150621-c-70__12__10G,T-150621-c-70,1/2,10G,,18.49917441557313,,,,
DX__T-150621-c-69__12__9E,T-150621-c-69,1/2,9E,,23.18241070652646,,,,
DX__T-150621-c-68__12__9D,T-150621-c-68,1/2,9D,,29.63934996089337,,,,
DX__T-150621-c-74__12__10B,T-150621-c-74,1/2,10B,,21.285304597201705,,,,
DX__T-150621-c-67__12__10F,T-150621-c-67,1/2,10F,,4.188754671069784,,,,
DX__T-150621-c-65__12__9A,T-150621-c-65,1/2,9A,,46.60380637872599,,,,
DX__T-150621-c-64__22__8H,T-150621-c-64,2/2,8H,,55.87,,,,
DX__T-150621-c-63__22__8G,T-150621-c-63,2/2,8G,,55.87,,,,
DX__T-150621-c-62__22__8F,T-150621-c-62,2/2,8F,,54.9,,,,
DX__T-150621-c-61__22__8E,T-150621-c-61,2/2,8E,,55.87,,,,
DX__T-150621-c-60__22__8D,T-150621-c-60,2/2,8D,,55.87,,,,
DX__T-150621-c-66__12__9B,T-150621-c-66,1/2,9B,,30.36065003910663,,,,
DX__T-150621-c-75__12__10C,T-150621-c-75,1/2,10C,,25.413226731554705,,,,
DX__T-150621-c-76__12__10H,T-150621-c-76,1/2,10H,,19.840097332058747,,,,
DX__T-150621-c-77__12__10E,T-150621-c-77,1/2,10E,,34.47640566611628,,,,
DX__T-150621-c-92__12__12D,T-150621-c-92,1/2,12D,,56.26314417311202,,,,
DX__T-150621-c-91__12__12C,T-150621-c-91,1/2,12C,,56.26314417311202,,,,
DX__T-150621-c-90__12__12B,T-150621-c-90,1/2,12B,,55.87,,,,
DX__T-150621-c-89__12__12A,T-150621-c-89,1/2,12A,,55.87,,,,
DX__T-150621-c-88__12__11H,T-150621-c-88,1/2,11H,,56.26314417311202,,,,
DX__T-150621-c-87__12__11G,T-150621-c-87,1/2,11G,,56.26314417311202,,,,
DX__T-150621-c-86__12__11F,T-150621-c-86,1/2,11F,,56.26314417311202,,,,
DX__T-150621-c-85__12__11E,T-150621-c-85,1/2,11E,,56.26314417311202,,,,
DX__T-150621-c-84__12__11D,T-150621-c-84,1/2,11D,,53.99061440862084,,,,
DX__T-150621-c-83__12__11C,T-150621-c-83,1/2,11C,,56.26314417311202,,,,
DX__T-150621-c-82__12__11B,T-150621-c-82,1/2,11B,,56.26314417311202,,,,
DX__T-150621-c-81__12__11A,T-150621-c-81,1/2,11A,,56.26314417311202,,,,
DX__T-150621-c-80__12__10H,T-150621-c-80,1/2,10H,,23.896758494829236,,,,
DX__T-150621-c-79__12__10G,T-150621-c-79,1/2,10G,,37.84044494655427,,,,
DX__T-150621-c-78__12__10F,T-150621-c-78,1/2,10F,,39.478578256713305,,,,
DX__T-150621-c-59__22__8C,T-150621-c-59,2/2,8C,,55.87,,,,
DX__T-150621-c-58__22__8B,T-150621-c-58,2/2,8B,,55.87,,,,
DX__T-150621-c-57__22__8A,T-150621-c-57,2/2,8A,,55.87,,,,
DX__T-150621-c-56__22__7H,T-150621-c-56,2/2,7H,,55.87,,,,
DX__T-150621-c-36__12__5D,T-150621-c-36,1/2,5D,,51.698965846875815,,,,
DX__T-150621-c-35__12__5C,T-150621-c-35,1/2,5C,,3.952376814113149,,,,
DX__T-150621-c-34__12__5B,T-150621-c-34,1/2,5B,,9.14486834100982,,,,
DX__T-150621-c-33__12__5A,T-150621-c-33,1/2,5A,,3.936734161814547,,,,
DX__T-150621-c-32__12__4H,T-150621-c-32,1/2,4H,,42.15086469105762,,,,
DX__T-150621-c-31__12__4G,T-150621-c-31,1/2,4G,,39.847918658208044,,,,
DX__T-150621-c-30__12__4F,T-150621-c-30,1/2,4F,,43.50829929608064,,,,
DX__T-150621-c-29__12__4E,T-150621-c-29,1/2,4E,,34.17571912748762,,,,
DX__T-150621-c-28__12__4D,T-150621-c-28,1/2,4D,,56.26314417311202,,,,
DX__T-150621-c-27__12__10D,T-150621-c-27,1/2,10D,,10.958546971408708,,,,
DX__T-150621-c-26__12__4B,T-150621-c-26,1/2,4B,,20.51794559833145,,,,
DX__T-150621-c-25__12__4A,T-150621-c-25,1/2,4A,,32.40027809159642,,,,
DX__T-150621-c-24__12__3H,T-150621-c-24,1/2,3H,,33.84461632050056,,,,
DX__T-150621-c-23__12__3G,T-150621-c-23,1/2,3G,,46.54384287824802,,,,
DX__T-150621-c-22__12__3F,T-150621-c-22,1/2,3F,,35.74693664725819,,,,
DX__T-150621-c-37__12__5E,T-150621-c-37,1/2,5E,,19.657599721908404,,,,
DX__T-150621-c-94__12__7D,T-150621-c-94,1/2,7D,,56.26314417311202,,,,
DX__T-150621-c-38__12__5F,T-150621-c-38,1/2,5F,,38.35578343616929,,,,
DX__T-150621-c-40__12__5H,T-150621-c-40,1/2,5H,,29.383853306682887,,,,
DX__T-150621-c-55__22__7G,T-150621-c-55,2/2,7G,,55.87,,,,
DX__T-150621-c-54__22__7F,T-150621-c-54,2/2,7F,,55.87,,,,
DX__T-150621-c-53__22__7E,T-150621-c-53,2/2,7E,,32.27,,,,
DX__T-150621-c-52__22__7D,T-150621-c-52,2/2,7D,,55.87,,,,
DX__T-150621-c-51__22__7C,T-150621-c-51,2/2,7C,,55.87,,,,
DX__T-150621-c-50__22__7B,T-150621-c-50,2/2,7B,,55.87,,,,
DX__T-150621-c-49__22__7A,T-150621-c-49,2/2,7A,,55.87,,,,
DX__T-150621-c-48__12__6H,T-150621-c-48,1/2,6H,,54.00017380724776,,,,
DX__T-150621-c-47__12__6G,T-150621-c-47,1/2,6G,,44.87876944468584,,,,
DX__T-150621-c-46__12__6F,T-150621-c-46,1/2,6F,,56.26314417311202,,,,
DX__T-150621-c-45__12__6E,T-150621-c-45,1/2,6E,,56.26314417311202,,,,
DX__T-150621-c-44__12__10E,T-150621-c-44,1/2,10E,,40.4206135395846,,,,
DX__T-150621-c-43__12__6C,T-150621-c-43,1/2,6C,,52.35508820717824,,,,
DX__T-150621-c-42__12__6B,T-150621-c-42,1/2,6B,,43.68732076127574,,,,
DX__T-150621-c-41__12__6A,T-150621-c-41,1/2,6A,,56.26314417311202,,,,
DX__T-150621-c-39__12__5G,T-150621-c-39,1/2,5G,,56.26314417311202,,,,
DX__T-150621-c-93__12__7C,T-150621-c-93,1/2,7C,,56.26314417311202,,,,
DX__T-150621-c-67__12__9C,T-150621-c-67,1/2,9C,,4.188754671069784,,,,
DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__7G,ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306,,7G,,,,,,
DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__12H,ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306,,12H,,,,,,
DX__Ultrapure-water__12G,Ultrapure-water,,12G,,,,,,
DX__T-150621-c-27__12__4C,T-150621-c-27,1/2,4C,,10.958546971408708,,,,
DX__T-150621-c-19__12__3C,T-150621-c-19,1/2,3C,,6.878421830190319,,,,
DX__T-150621-c-44__12__6D,T-150621-c-44,1/2,6D,,40.4206135395846,,,,
DX__T-150621-c-70__12__9F,T-150621-c-70,1/2,9F,,18.49917441557313,,,,
DX__T-150621-c-76__12__10D,T-150621-c-76,1/2,10D,,19.840097332058747,,,,
DX__T-150621-c-94__12__12F,T-150621-c-94,1/2,12F,,56.26314417311202,,,,
DX__T-150621-c-93__12__12E,T-150621-c-93,1/2,12E,,56.26314417311202,,,,
DX__R-160622-c-1__1.0__1A__2022-10-06,R-160622-c-1,1.0,1A,2022-10-06,,18.98140874574496,,,
DX__H-200622-c-17-7__2.0__5C__2022-10-11,H-200622-c-17-7,2.0,5C,2022-10-11,,11.226188433156,,,
DX__H-200622-c-18-1__2.0__5D__2022-10-11,H-200622-c-18-1,2.0,5D,2022-10-11,,8.912819632744123,,,
DX__H-200622-c-18-2__2.0__5E__2022-10-11,H-200622-c-18-2,2.0,5E,2022-10-11,,13.729191693839024,,,
DX__H-200622-c-18-3__2.0__5F__2022-10-11,H-200622-c-18-3,2.0,5F,2022-10-11,,19.58040157885705,,,
DX__H-200622-c-18-4__2.0__5G__2022-10-11,H-200622-c-18-4,2.0,5G,2022-10-11,,11.777930324352154,,,
DX__H-200622-c-18-5__2.0__5H__2022-10-11,H-200622-c-18-5,2.0,5H,2022-10-11,,17.947485841771066,,,
DX__H-200622-c-18-6__2.0__6A__2022-10-11,H-200622-c-18-6,2.0,6A,2022-10-11,,6.803672558778102,,,
DX__H-200622-c-17-6__2.0__5B__2022-10-11,H-200622-c-17-6,2.0,5B,2022-10-11,,16.26308563583319,,,
DX__H-200622-c-19-1__2.0__6C__2022-10-11,H-200622-c-19-1,2.0,6C,2022-10-11,,12.792174360734512,,,
DX__H-200622-c-19-3__2.0__6E__2022-10-11,H-200622-c-19-3,2.0,6E,2022-10-11,,15.57662605114124,,,
DX__H-200622-c-19-4__2.0__6F__2022-10-11,H-200622-c-19-4,2.0,6F,2022-10-11,,20.432469538355928,,,
DX__H-200622-c-19-5__2.0__6G__2022-10-11,H-200622-c-19-5,2.0,6G,2022-10-11,,15.380126995023168,,,
DX__H-200622-c-19-6__2.0__6H__2022-10-11,H-200622-c-19-6,2.0,6H,2022-10-11,,12.621417539042389,,,
DX__H-200622-c-19-7__2.0__7A__2022-10-11,H-200622-c-19-7,2.0,7A,2022-10-11,,7.607688347348549,,,
DX__H-200622-c-20-1__2.0__7B__2022-10-11,H-200622-c-20-1,2.0,7B,2022-10-11,,7.079972541616613,,,
DX__H-200622-c-20-2__2.0__7C__2022-10-11,H-200622-c-20-2,2.0,7C,2022-10-11,,7.8496653509524625,,,
DX__H-200622-c-20-3__2.0__7D__2022-10-11,H-200622-c-20-3,2.0,7D,2022-10-11,,7.274755448772954,,,
DX__H-200622-c-19-2__2.0__6D__2022-10-11,H-200622-c-19-2,2.0,6D,2022-10-11,,14.224300669298096,,,
DX__H-200622-c-17-5__2.0__5A__2022-10-11,H-200622-c-17-5,2.0,5A,2022-10-11,,16.862879697957784,,,
DX__H-200622-c-17-4__2.0__4H__2022-10-11,H-200622-c-17-4,2.0,4H,2022-10-11,,17.781877466964133,,,
DX__H-200622-c-17-3__2.0__4G__2022-10-11,H-200622-c-17-3,2.0,4G,2022-10-11,,21.246782220696755,,,
DX__H-200622-c-14-2__2.0__2A__2022-10-11,H-200622-c-14-2,2.0,2A,2022-10-11,,14.69624163377381,,,
DX__H-200622-c-14-3__2.0__2B__2022-10-11,H-200622-c-14-3,2.0,2B,2022-10-11,,19.77604256049425,,,
DX__H-200622-c-14-4__2.0__2C__2022-10-11,H-200622-c-14-4,2.0,2C,2022-10-11,,16.177278187746698,,,
DX__H-200622-c-14-5__2.0__2D__2022-10-11,H-200622-c-14-5,2.0,2D,2022-10-11,,17.483267547623132,,,
DX__H-200622-c-14-6__2.0__2E__2022-10-11,H-200622-c-14-6,2.0,2E,2022-10-11,,13.16886905783422,,,
DX__H-200622-c-15-1__2.0__2G__2022-10-11,H-200622-c-15-1,2.0,2G,2022-10-11,,15.996224472284194,,,
DX__H-200622-c-15-2__2.0__2H__2022-10-11,H-200622-c-15-2,2.0,2H,2022-10-11,,23.532692637720952,,,
DX__H-200622-c-15-3__2.0__3A__2022-10-11,H-200622-c-15-3,2.0,3A,2022-10-11,,31.577140895829757,,,
DX__H-200622-c-15-4__2.0__3B__2022-10-11,H-200622-c-15-4,2.0,3B,2022-10-11,,12.853097648875922,,,
DX__H-200622-c-15-6__2.0__3D__2022-10-11,H-200622-c-15-6,2.0,3D,2022-10-11,,14.2217264458555,,,
DX__H-200622-c-15-7__2.0__3E__2022-10-11,H-200622-c-15-7,2.0,3E,2022-10-11,,21.20216234769178,,,
DX__H-200622-c-16-1__2.0__3F__2022-10-11,H-200622-c-16-1,2.0,3F,2022-10-11,,14.780332932898576,,,
DX__H-200622-c-16-2__2.0__3G__2022-10-11,H-200622-c-16-2,2.0,3G,2022-10-11,,17.974944225158744,,,
DX__H-200622-c-16-3__2.0__3H__2022-10-11,H-200622-c-16-3,2.0,3H,2022-10-11,,18.14484297237,,,
DX__H-200622-c-16-4__2.0__4A__2022-10-11,H-200622-c-16-4,2.0,4A,2022-10-11,,17.841084606143813,,,
DX__H-200622-c-16-5__2.0__4B__2022-10-11,H-200622-c-16-5,2.0,4B,2022-10-11,,14.823236656941823,,,
DX__H-200622-c-16-6__2.0__4C__2022-10-11,H-200622-c-16-6,2.0,4C,2022-10-11,,15.91213317315943,,,
DX__H-200622-c-16-7__2.0__2022-10-11,H-200622-c-16-7,2.0,,2022-10-11,,12.476402951776214,,,
DX__H-200622-c-17-2__2.0__2022-10-11,H-200622-c-17-2,2.0,,2022-10-11,,22.407756993307014,,,
DX__H-200622-c-20-4__2.0__7E__2022-10-11,H-200622-c-20-4,2.0,7E,2022-10-11,,2.309078428007551,,,
DX__H-200622-c-20-5__2.0__7F__2022-10-11,H-200622-c-20-5,2.0,7F,2022-10-11,,3.3739488587609405,,,
DX__H-200622-c-20-6__2.0__7G__2022-10-11,H-200622-c-20-6,2.0,7G,2022-10-11,,9.534065556890338,,,
DX__H-200622-c-20-7__2.0__7H__2022-10-11,H-200622-c-20-7,2.0,7H,2022-10-11,,6.031405525999657,,,
DX__H-200622-c-24-4__2.0__11A__2022-10-11,H-200622-c-24-4,2.0,11A,2022-10-11,,11.038270121846576,,,
DX__H-200622-c-24-5__2.0__11B__2022-10-11,H-200622-c-24-5,2.0,11B,2022-10-11,,8.693152565642698,,,
DX__H-200622-c-24-6__2.0__11C__2022-10-11,H-200622-c-24-6,2.0,11C,2022-10-11,,12.61455294319547,,,
DX__H-200622-c-24-7__2.0__11D__2022-10-11,H-200622-c-24-7,2.0,11D,2022-10-11,,10.091813969452549,,,
DX__R-210622-c-25-1__2.0__11E__2022-10-11,R-210622-c-25-1,2.0,11E,2022-10-11,,9.05869229449116,,,
DX__R-210622-c-25-2__2.0__11F__2022-10-11,R-210622-c-25-2,2.0,11F,2022-10-11,,11.105199931354042,,,
DX__R-210622-c-25-3__2.0__11G__2022-10-11,R-210622-c-25-3,2.0,11G,2022-10-11,,10.887249013214348,,,
DX__R-210622-c-25-4__2.0__11H__2022-10-11,R-210622-c-25-4,2.0,11H,2022-10-11,,18.33876780504548,,,
DX__R-210622-c-25-5__2.0__12A__2022-10-06,R-210622-c-25-5,2.0,12A,2022-10-06,,5.527715805731938,,,
DX__R-210622-c-25-6__2.0__12B__2022-10-06,R-210622-c-25-6,2.0,12B,2022-10-06,,4.519478290715634,,,
